ID,RA,Dec,k36mag,e36mag,d36mag,k45mag,e45mag,d45mag,k58mag,e58mag,d58mag,k80mag,e80mag,d80mag,k24mag,e24mag,dstArcSec,RAJ2000,DEJ2000,Jmag,eJmag,Hmag,eHmag,Kmag,eKmag,c1a,c1b,c1c,c2a,c2b,c2c,c3a,c3b,c3c,c4a,c4b,c4c,c5a,c5b,c5c,c6a,c6b,c6c,c7,c8,c9a,c9b,c9c,c11b,c11c,c1,c2,c3,c4,c5,c6,c9,c10,c11,24 data?,36 data?,45 data?,58 data?,80 data?,SpNum,H data?,J data?,K data?,HJKNum,c2 met?,c3 met?,c4 met?,c5 met?,c6 met?,c9 met?,c11 met?,sp rel?,HJK rel?,YSO Score,24 without 58/80,New name
3776,296.02927,-14.68646,17.16,0.05,0.12,16.14,0.05,-0.04,15.31,0.08,0.48,14.02,0.07,0.06,10.02,0.04,0.715527028018423,296.029144,-14.686303,19.31,0.164,18.867,0.131,18.045,0.089,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,3,1,1,1,1,1,1,0,0,1,1,1,1,1,5,1,1,1,3,1,1,1,1,1,1,0,1,1,6,0,1
8145,296.04298,-14.80325,17.14,0.11,1.04,17.04,0.16,1.26,15.96,0.15,0.83,13.55,0.08,1.15,9.05,0.03,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,5,0,0,0,0,0,0,1,1,1,1,0,1,0,4,0,2
2235,296.04335,-14.80379,15.89,0.08,0.83,15.55,0.09,0.83,15.38,0.12,1.23,12.4,0.04,0.61,8.95,0.03,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,5,0,0,0,0,0,0,1,1,1,1,0,1,0,4,0,3
3160,296.04509,-14.67401,16.32,0.14,-9999,15.94,0.12,1.19,10.41,0.12,-3.87,10.43,0.05,-3.12,12.28,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1,4,0,0,0,0,1,1,1,0,0,1,1,1,0,4,0,4
19111,296.04821,-14.68252,18.83,0.1,-0.32,18.01,0.09,0.1,16.28,0.18,-9999,14.97,0.08,-0.93,11.27,0.08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,5,0,0,0,0,1,0,1,0,0,1,0,1,0,3,0,5
6762,296.04945,-14.84182,17.82,0.17,1.13,16.8,0.1,0.56,15.95,0.12,-0.59,14.8,0.08,0.01,11.36,0.21,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,4,0,0,0,0,1,0,1,0,0,1,0,1,0,3,0,6
3480,296.05655,-14.87977,17.01,0.15,0.79,16.05,0.09,0.06,15.69,0.12,-0.1,15.36,0.13,0.1,9.88,0.04,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,5,0,0,0,0,1,0,0,1,1,0,0,1,0,3,0,7
2491,296.05716,-14.83338,16.11,0.11,0.25,15.68,0.12,0.3,15.89,0.09,0.66,13.55,0.05,0.21,9.92,0.04,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,5,0,0,0,0,0,0,1,1,1,1,0,1,0,4,0,8
28211,296.05902,-14.7746,18.77,0.16,0.01,18.82,0.17,-0.08,16.3,0.12,-9999,14.82,0.09,-0.81,11.3,0.07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,5,0,0,0,0,1,1,1,0,0,1,1,1,0,4,0,9
5166,296.06257,-14.82043,16.77,0.03,0.94,16.49,0.09,0.94,15.6,0.1,0.39,15.16,0.11,0.87,10.96,0.06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,5,0,0,0,0,1,1,1,0,0,0,0,1,0,3,0,10
